Graph Ids,C2,C3,G\_N2V,G\_N2V*,G\_HOPE,G\_SDNE,G\_SDNE*,G\_SPEC,GUROBI OPTIMAL,GUROBI TIME
incgraph\_6\_0.17\_5\_30\_1.60\_4\_1,10513.33,10510.8,10512.97,10512.6,10513.2,10512.3,10512.97,10512.5,10508,14472
incgraph\_6\_0.17\_5\_30\_1.60\_5\_1,1631.03,1629.03,1633.0,1632.47,1633.4,1632.57,1632.77,1632.27,1628,2758
incgraph\_6\_0.17\_5\_30\_1.60\_6\_1,9829.43,9810.93,9824.43,9823.13,9822.23,9820.17,9822.37,9819.77,9809,13687
incgraph\_6\_0.17\_5\_30\_1.60\_7\_1,11116.73,11117.77,11116.33,11116.5,11115.97,11116.47,11116.5,11116.33,11115,15568
incgraph\_6\_0.17\_5\_30\_1.60\_8\_1,2954.37,2954.67,2954.73,2954.63,2954.47,2954.43,2954.43,2955.43,2954,3321
incgraph\_6\_0.17\_5\_30\_1.60\_9\_1,2044.63,2043.53,2045.07,2044.83,2044.37,2044.4,2044.5,2044.7,2043,6627
incgraph\_6\_0.17\_5\_30\_1.60\_10\_1,9196.27,9196.03,9196.2,9196.07,9196.03,9196.37,9196.13,9195.9,9194,8813
incgraph\_6\_0.30\_5\_30\_1.20\_1\_1,14808.1,14807.43,14807.0,14807.0,14807.0,14807.0,14807.0,14807.0,14807,5759
incgraph\_6\_0.30\_5\_30\_1.20\_2\_1,18188.0,18154.0,18155.17,18154.0,18154.0,18155.13,18156.27,18154.0,18154,6533
incgraph\_6\_0.30\_5\_30\_1.20\_3\_1,37239.0,37224.5,37226.97,37226.33,37226.97,37229.5,37227.6,37233.3,37220,13378
incgraph\_6\_0.30\_5\_30\_1.20\_4\_1,19548.0,19552.93,19549.73,19549.73,19548.0,19548.87,19548.87,19549.73,19548,7232
incgraph\_6\_0.30\_5\_30\_1.20\_5\_1,3199.0,3199.0,3199.0,3199.0,3199.5,3199.5,3201.0,3199.5,3199,1565
incgraph\_6\_0.30\_5\_30\_1.20\_6\_1,18012.0,18026.8,18012.0,18012.0,18012.0,18012.0,18012.0,18012.0,18012,7441
incgraph\_6\_0.30\_5\_30\_1.20\_7\_1,20097.0,19992.0,19992.0,19992.0,19992.0,19999.0,19992.0,19992.0,19992,7527
incgraph\_6\_0.30\_5\_30\_1.20\_8\_1,5979.0,5979.0,5979.0,5979.0,5979.0,5979.13,5979.0,5979.0,5979,2.17
incgraph\_6\_0.30\_5\_30\_1.20\_9\_1,3852.0,3852.0,3852.0,3852.0,3852.0,3852.0,3852.0,3852.0,3852,2.25
incgraph\_6\_0.30\_5\_30\_1.20\_10\_1,17507.0,17507.1,17507.0,17507.0,17507.0,17507.0,17507.0,17507.03,17507,5925
incgraph\_6\_0.30\_5\_30\_1.60\_1\_1,23845.0,23851.0,23845.0,23845.0,23844.97,23845.13,23845.03,23845.13,23844,38211
incgraph\_6\_0.30\_5\_30\_1.60\_2\_1,28271.97,28272.93,28271.87,28272.07,28271.93,28271.8,28271.87,28271.73,28273,44079
incgraph\_6\_0.30\_5\_30\_1.60\_3\_1,59841.77,59843.87,59841.07,59840.8,59841.53,59841.17,59841.33,59841.9,59843,610.39
incgraph\_6\_0.30\_5\_30\_1.60\_4\_1,30648.87,30648.13,30649.1,30649.57,30649.87,30649.1,30649.5,30650.07,30645,30185
incgraph\_6\_0.30\_5\_30\_1.60\_5\_1,5357.53,5357.2,5357.87,5357.43,5357.6,5357.77,5357.77,5358.2,5357,4.02
incgraph\_6\_0.30\_5\_30\_1.60\_6\_1,28323.1,28322.33,28322.77,28322.7,28323.0,28322.77,28323.07,28322.47,28322,19256
incgraph\_6\_0.30\_5\_30\_1.60\_7\_1,33163.5,33166.7,33163.7,33163.47,33163.3,33163.47,33163.57,33163.3,33163,81402
incgraph\_6\_0.30\_5\_30\_1.60\_8\_1,9559.1,9559.67,9559.03,9559.0,9559.0,9559.0,9559.03,9559.0,9559,7259
incgraph\_6\_0.30\_5\_30\_1.60\_9\_1,6059.07,6058.93,6058.23,6058.27,6058.57,6058.27,6058.2,6058.3,6058,10975
incgraph\_6\_0.30\_5\_30\_1.60\_10\_1,28529.1,28531.27,28527.43,28527.03,28528.07,28527.23,28528.13,28527.83,28524,86724
,,,,,,,,,,
incgraph\_13\_0.06\_5\_30\_1.20\_1\_1,2850.13,2850.23,2850.97,2850.77,2850.3,2850.33,2850.53,2850.2,2850,6267
incgraph\_13\_0.06\_5\_30\_1.20\_2\_1,3682.6,3678.23,3683.1,3683.0,3680.27,3680.4,3682.23,3682.5,3664,6969
incgraph\_13\_0.06\_5\_30\_1.20\_3\_1,3272.67,3272.0,3273.2,3273.33,3272.53,3272.4,3272.33,3272.73,3272,5102
incgraph\_13\_0.06\_5\_30\_1.20\_4\_1,2798.4,2798.3,2797.07,2797.0,2797.17,2797.1,2797.03,2797.03,2797,4228
incgraph\_13\_0.06\_5\_30\_1.20\_5\_1,1722.6,1721.9,1721.97,1721.97,1722.03,1722.13,1722.13,1721.53,1720,2427
incgraph\_13\_0.06\_5\_30\_1.20\_6\_1,2688.07,2684.63,2688.17,2687.37,2687.43,2686.23,2686.1,2688.77,2682,4199
incgraph\_13\_0.06\_5\_30\_1.20\_7\_1,2800.03,2806.07,2800.57,2801.4,2800.63,2800.03,2800.13,2800.53,2800,5221
incgraph\_13\_0.06\_5\_30\_1.20\_8\_1,1593.0,1593.3,1593.0,1593.0,1593.0,1593.0,1593.0,1593.0,1593,1667
incgraph\_13\_0.06\_5\_30\_1.20\_9\_1,2077.73,2063.6,2066.9,2064.6,2070.0,2078.23,2075.4,2071.13,2057,3462
incgraph\_13\_0.06\_5\_30\_1.20\_10\_1,2945.0,2943.63,2942.4,2944.97,2939.9,2942.13,2941.83,2939.87,2938,4805
incgraph\_13\_0.06\_5\_30\_1.60\_1\_1,4338.7,4313.7,4325.07,4326.3,4325.4,4323.2,4327.1,4324.43,4296,18778
incgraph\_13\_0.06\_5\_30\_1.60\_2\_1,5675.7,5671.3,5671.53,5671.6,5675.03,5673.6,5672.57,5675.23,5642,28905
incgraph\_13\_0.06\_5\_30\_1.60\_3\_1,4815.53,4810.97,4818.73,4819.57,4818.27,4816.1,4814.9,4818.3,4791,17533
incgraph\_13\_0.06\_5\_30\_1.60\_4\_1,3768.7,3778.33,3768.43,3771.3,3770.53,3766.17,3764.87,3771.77,3742,14742
incgraph\_13\_0.06\_5\_30\_1.60\_5\_1,2696.87,2692.0,2696.07,2697.0,2696.33,2697.17,2695.53,2693.2,2681,9541
incgraph\_13\_0.06\_5\_30\_1.60\_6\_1,4093.93,4080.4,4082.87,4082.83,4085.23,4087.23,4085.87,4085.9,4069,16396
incgraph\_13\_0.06\_5\_30\_1.60\_7\_1,4203.8,4194.27,4202.43,4199.03,4199.5,4203.17,4203.13,4200.2,4176,17126
incgraph\_13\_0.06\_5\_30\_1.60\_8\_1,2409.77,2406.07,2408.97,2408.73,2408.5,2407.93,2407.3,2407.93,2395,6034
incgraph\_13\_0.06\_5\_30\_1.60\_9\_1,3271.87,3267.3,3273.23,3274.1,3274.5,3271.07,3271.23,3274.57,3252,10861
incgraph\_13\_0.06\_5\_30\_1.60\_10\_1,4094.63,4090.17,4092.97,4092.77,4092.3,4093.77,4093.5,4092.27,4078,14347
incgraph\_13\_0.17\_5\_30\_1.20\_1\_1,16856.07,16849.8,16866.77,16866.77,16849.2,16851.77,16854.1,16853.97,16845,8628
incgraph\_13\_0.17\_5\_30\_1.20\_2\_1,22796.87,22791.6,22790.63,22793.07,22791.73,22790.0,22789.77,22790.6,22789,12649
incgraph\_13\_0.17\_5\_30\_1.20\_3\_1,12995.37,12943.2,12966.4,12966.7,12960.1,12967.6,12971.67,12959.47,12943,7356
incgraph\_13\_0.17\_5\_30\_1.20\_4\_1,9674.57,9673.03,9656.53,9656.1,9648.2,9660.43,9661.8,9651.67,9637,6767
incgraph\_13\_0.17\_5\_30\_1.20\_5\_1,4502.2,4502.2,4502.07,4502.1,4502.13,4502.2,4502.27,4502.13,4502,4176
incgraph\_13\_0.17\_5\_30\_1.20\_6\_1,12599.0,12552.9,12583.13,12580.6,12586.17,12582.97,12583.83,12583.63,12542,8049
incgraph\_13\_0.17\_5\_30\_1.20\_7\_1,14384.9,14342.8,14361.33,14360.3,14368.17,14369.77,14365.77,14355.87,14339,9573
incgraph\_13\_0.17\_5\_30\_1.20\_8\_1,4086.0,4085.37,4085.4,4085.57,4082.37,4082.33,4083.5,4082.83,4080,3.57
incgraph\_13\_0.17\_5\_30\_1.20\_9\_1,5229.13,5229.97,5228.0,5228.0,5229.63,5228.77,5228.17,5228.27,5228,5597
incgraph\_13\_0.17\_5\_30\_1.20\_10\_1,13380.07,13372.7,13376.97,13376.67,13376.13,13372.93,13373.57,13375.43,13372,8573
incgraph\_13\_0.17\_5\_30\_1.60\_1\_1,26787.07,26827.17,26783.0,26785.53,26790.5,26790.13,26786.97,26793.83,26768,26537
incgraph\_13\_0.17\_5\_30\_1.60\_2\_1,36281.93,36266.73,36264.57,36264.77,36261.83,36261.0,36261.1,36264.27,36243,33617
incgraph\_13\_0.17\_5\_30\_1.60\_3\_1,20176.7,20178.4,20140.93,20145.37,20136.17,20132.93,20137.47,20131.1,20058,47318
incgraph\_13\_0.17\_5\_30\_1.60\_4\_1,15276.43,15274.17,15274.6,15273.33,15275.83,15274.03,15275.33,15274.03,15269,17899
incgraph\_13\_0.17\_5\_30\_1.60\_5\_1,7212.47,7238.63,7215.53,7213.2,7215.23,7216.93,7216.47,7215.07,7197,11761
incgraph\_13\_0.17\_5\_30\_1.60\_6\_1,20055.6,20032.07,20051.27,20050.3,20042.77,20045.67,20044.0,20047.33,20025,21395
incgraph\_13\_0.17\_5\_30\_1.60\_7\_1,21893.0,21889.13,21892.4,21894.77,21888.8,21894.13,21891.23,21892.17,21870,47804
incgraph\_13\_0.17\_5\_30\_1.60\_8\_1,6554.73,6571.53,6560.47,6558.87,6556.4,6558.0,6556.27,6558.53,6548,10875
incgraph\_13\_0.17\_5\_30\_1.60\_9\_1,7540.4,7532.33,7532.5,7532.27,7533.23,7533.5,7534.7,7531.6,7518,16849
incgraph\_13\_0.17\_5\_30\_1.60\_10\_1,21499.43,21497.0,21497.17,21496.57,21497.4,21497.13,21496.33,21495.73,21477,38.99
incgraph\_13\_0.30\_5\_30\_1.20\_1\_1,49968.0,49941.33,49962.57,49957.83,49964.6,49966.43,49962.23,49963.13,49939,22964
incgraph\_13\_0.30\_5\_30\_1.20\_2\_1,71798.83,71727.1,71737.47,71734.17,71737.47,71733.5,71731.43,71736.77,71727,26659
incgraph\_13\_0.30\_5\_30\_1.20\_3\_1,37219.47,37203.3,37209.77,37207.07,37207.9,37206.43,37203.53,37207.83,37196,15.26
incgraph\_13\_0.30\_5\_30\_1.20\_4\_1,29582.0,29582.13,29582.0,29582.03,29582.0,29582.0,29582.0,29582.0,29582,11916
incgraph\_13\_0.30\_5\_30\_1.20\_5\_1,14114.0,14142.3,14114.0,14114.0,14114.0,14114.0,14114.0,14114.0,14114,6764
incgraph\_13\_0.30\_5\_30\_1.20\_6\_1,36850.93,36863.4,36854.1,36852.8,36854.23,36852.73,36852.53,36850.8,36850,14447
incgraph\_13\_0.30\_5\_30\_1.20\_7\_1,42106.0,42117.83,42106.07,42106.03,42106.0,42106.0,42106.0,42106.0,42106,18386
incgraph\_13\_0.30\_5\_30\_1.20\_8\_1,12979.6,12992.23,12975.17,12975.83,12976.27,12975.4,12976.0,12976.1,12967,5534
incgraph\_13\_0.30\_5\_30\_1.20\_9\_1,15218.0,15230.17,15218.0,15218.0,15218.0,15218.0,15218.0,15218.0,15218,7857
incgraph\_13\_0.30\_5\_30\_1.20\_10\_1,41821.4,41865.9,41827.47,41827.63,41823.53,41826.53,41824.7,41836.37,41821,14865
incgraph\_13\_0.30\_5\_30\_1.60\_1\_1,83208.83,83268.57,83224.27,83233.33,83223.77,83229.67,83221.7,83224.3,83185,555898
incgraph\_13\_0.30\_5\_30\_1.60\_2\_1,116536.6,116554.2,116525.2,116527.13,116527.07,116523.97,116523.03,116524.67,116495,676211
incgraph\_13\_0.30\_5\_30\_1.60\_3\_1,60823.73,60853.07,60823.13,60827.0,60827.5,60824.67,60825.2,60825.3,60818,168.62
incgraph\_13\_0.30\_5\_30\_1.60\_4\_1,47911.23,47974.53,47951.7,47946.47,47944.1,47946.03,47939.07,47947.1,47903,72798
incgraph\_13\_0.30\_5\_30\_1.60\_5\_1,23939.57,23940.4,23937.07,23938.73,23953.9,23940.73,23938.6,23948.73,23931,46099
incgraph\_13\_0.30\_5\_30\_1.60\_6\_1,62536.4,62555.23,62541.47,62541.67,62540.5,62542.6,62539.93,62543.93,62528,418.77
incgraph\_13\_0.30\_5\_30\_1.60\_7\_1,69713.9,69776.47,69715.87,69715.07,69714.93,69715.7,69715.1,69715.2,69712,463423
incgraph\_13\_0.30\_5\_30\_1.60\_8\_1,21208.2,21229.77,21201.73,21202.07,21203.23,21200.33,21201.43,21201.8,21194,93617
incgraph\_13\_0.30\_5\_30\_1.60\_9\_1,24069.23,24105.53,24093.6,24084.9,24098.97,24086.47,24069.07,24086.03,24063,27612
incgraph\_13\_0.30\_5\_30\_1.60\_10\_1,69785.0,69797.2,69770.7,69772.07,69771.67,69773.7,69768.0,69770.17,69748,193332
,,,,,,,,,,
incgraph\_20\_0.06\_5\_30\_1.20\_1\_1,5572.43,5575.47,5572.83,5573.07,5572.8,5572.73,5572.77,5572.67,5572,8416
incgraph\_20\_0.06\_5\_30\_1.20\_2\_1,5030.03,5030.9,5031.93,5032.7,5031.23,5031.7,5030.67,5030.33,5026,9201
incgraph\_20\_0.06\_5\_30\_1.20\_3\_1,4373.17,4380.77,4373.4,4373.47,4373.37,4373.27,4373.23,4373.17,4373,7346
